,Cod.Car.Sec,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final
445,ELE-PLS13 ,0,2017,10,9,0,27,18,3F-1
446,CIV-PLS13 ,0,0,2,11,0,0,0,
447,ELE-PLS13 ,0,0,0,0,0,0,0,
448,ELE-PLS13 ,0,2017,9,21,0,0,0,"1F-1,2F-1,3F-1"
449,ELE-PLS13 ,0,2017,8,20,0,14,0,2F-1
450,MCT-PLS13 ,0,0,14,3,0,4,10,
451,ELE-PLS13 ,0,2017,9,8,0,16,30,
452,CIV-PLS13 ,1,2017,18,19,0,0,0,1F-3
453,IND-PLS13 ,0,0,3,14,0,21,19,
454,CIV-PLS13 ,1,2017,17,20,0,0,0,1F-3
455,ELE-PLS13 ,0,0,6,7,0,0,0,
456,ELE-PLS13 ,0,0,12,0,0,0,0,
457,IND-PLS13 ,0,0,4,0,0,0,0,
458,MCT-PLS13 ,0,0,11,8,0,16,8,
459,ELE-PLS13 ,0,2017,6,14,0,12,31,3F-1
460,MCT-PLS13 ,1,2017,15,7,0,12,34,3F-3
461,IND-PLS13 ,0,0,9,8,0,20,22,
462,CIV-PLS13 ,0,2016,13,18,0,0,0,"1F-1,2F-1,3F-1"
463,ELE-PLS13 ,0,0,3,7,0,0,0,
464,IND-PLS13 ,1,2017,18,14,0,0,0,2F-2
465,MCT-PLS13 ,0,0,5,11,0,14,22,
466,ELE-PLS13 ,0,0,6,17,0,24,16,
467,ELE-PLS13 ,0,0,4,11,0,17,8,
468,CIV-PLS13 ,0,0,5,4,0,0,0,
469,ELE-PLS13 ,0,0,3,12,0,12,18,
470,IND-PLS13 ,0,0,7,0,0,0,0,
471,CIV-PLS13 ,0,0,0,0,0,0,0,
472,MCT-PLS13 ,1,2017,18,18,0,0,0,1F-2
473,CIV-PLS13 ,0,0,11,9,0,6,8,
474,IND-PLS13 ,0,2017,5,21,0,29,0,"2F-1,3F-1"
475,CIV-PLS13 ,0,2017,17,12,0,0,4,3F-1
476,CIV-PLS13 ,1,2017,13,24,0,38,0,2F-5
477,CIV-PLS13 ,0,0,6,14,0,0,4,
478,ELE-PLS13 ,0,2017,13,17,0,20,34,3F-1
479,CIV-PLS13 ,0,0,13,6,0,0,0,
480,MCT-PLS13 ,0,0,6,0,0,0,0,
481,CIV-PLS13 ,1,2017,12,13,0,10,28,3F-2
482,CIV-PLS13 ,0,0,11,11,0,20,22,
483,CIV-PLS13 ,0,0,2,2,0,0,0,
484,ELE-PLS13 ,0,0,4,0,0,0,0,
485,MEC-PLS13 ,0,0,15,13,0,0,0,
486,CIV-PLS13 ,0,0,5,11,0,8,4,
487,ELE-PLS13 ,1,2017,16,13,0,21,6,3F-2
488,CIV-PLS13 ,1,2017,18,21,0,0,0,1F-3
489,ELE-PLS13 ,1,2017,13,18,0,0,0,"1F-1,2F-2"
490,ELE-PLS13 ,0,0,0,7,0,0,0,
491,CIV-PLS13 ,0,2017,7,8,0,30,0,"2F-1,3F-1"
492,ELE-PLS13 ,1,2017,2,18,0,29,0,2F-2
493,ELE-PLS13 ,1,2017,16,24,0,0,0,1F-2
494,CIV-PLS13 ,0,0,8,8,0,9,6,
495,CIV-PLS13 ,1,2016,17,23,0,30,28,3F-2
496,CIV-PLS13 ,0,0,0,0,0,0,0,
497,ELE-PLS13 ,0,0,11,18,0,0,10,
498,CIV-PLS13 ,0,0,5,13,0,0,12,
499,CIV-PLS13 ,1,2017,8,22,0,0,0,1F-2
500,CIV-PLS13 ,1,2017,13,20,0,0,0,"1F-1,2F-2"
501,MCT-PLS13 ,0,0,8,15,0,9,26,
502,ELE-PLS13 ,1,2017,21,14,0,28,42,3F-4
503,ELE-PLS13 ,0,0,0,0,0,0,0,
504,MCT-PLS13 ,1,2017,7,22,0,28,0,2F-2
505,IND-PLS13 ,1,2017,7,17,0,24,46,3F-3
506,IND-PLS13 ,0,0,9,9,0,11,18,
507,MCT-PLS13 ,1,2017,10,17,0,10,24,3F-2
508,ELE-PLS13 ,0,2017,12,23,0,26,26,3F-1
509,CIV-PLS13 ,0,0,7,0,0,0,0,
510,CIV-PLS13 ,0,0,2,0,0,0,0,
511,CIV-PLS13 ,0,0,0,0,0,0,0,
512,MCT-PLS13 ,0,2017,7,15,0,16,30,3F-1
513,MEC-PLS13 ,0,0,13,6,0,0,0,
514,ELE-PLS13 ,0,0,0,15,0,20,26,
515,ELE-PLS13 ,0,2017,10,12,0,31,0,"2F-1,3F-1"
516,CIV-PLS13 ,0,0,4,6,0,0,0,
517,ELE-PLS13 ,1,2017,14,22,0,40,0,2F-4
518,ELE-PLS13 ,0,0,6,4,0,0,0,
519,ELE-PLS13 ,1,2017,16,28,0,0,0,1F-4
520,CIV-PLS13 ,0,0,11,10,0,8,12,
521,MCT-PLS13 ,0,2017,15,14,0,20,34,3F-1
522,ELE-PLS13 ,0,0,4,0,0,0,0,
523,ELE-PLS13 ,1,2016,11,24,0,0,0,1F-2
524,CIV-PLS13 ,1,2017,16,27,0,0,0,1F-4
525,CIV-PLS13 ,0,0,2,9,0,0,0,
526,IND-PLS13 ,0,0,6,11,0,12,10,
527,ELE-PLS13 ,0,0,10,3,0,0,0,
528,CIV-PLS13 ,0,0,0,0,0,0,0,
529,CIV-PLS13 ,0,0,10,18,0,15,13,
530,CIV-PLS13 ,1,2017,7,24,0,26,26,3F-2
531,ELE-PLS13 ,0,2017,17,11,0,0,0,"2F-1,3F-1"
532,CIV-PLS13 ,1,2017,20,28,0,0,0,1F-5
533,CIV-PLS13 ,1,2017,19,26,0,0,0,1F-4
534,CIV-PLS13 ,0,0,7,0,0,0,0,
535,CIV-PLS13 ,0,0,7,8,0,0,7,
536,ELE-PLS13 ,1,2017,17,11,0,0,0,"1F-1,2F-2"
537,CIV-PLS13 ,0,2017,6,22,0,18,32,3F-1
538,MCT-PLS13 ,0,0,0,12,0,0,0,
539,CIV-PLS13 ,0,2017,11,15,0,18,33,3F-1
540,IND-PLS09 ,0,0,0,0,0,0,0,
541,MCT-PLS09 ,0,0,4,0,0,0,0,
542,IND-PLS09 ,0,0,0,0,0,0,0,
543,ELE-PLS09 ,0,2017,11,13,0,31,0,"2F-1,3F-1"
544,IND-PLS09 ,0,0,12,0,0,0,0,
545,MEC-PLS09 ,0,0,0,0,0,0,0,
546,MEC-PLS09 ,0,2016,10,0,0,0,0,"1F-1,2F-1,3F-1"
547,ELE-PLS09 ,0,0,0,0,0,0,0,
548,ELE-PLS09 ,0,0,10,7,0,12,6,
549,CIV-PLS09 ,0,0,15,10,0,18,16,
550,MEC-PLS09 ,1,2016,11,0,0,0,0,1F-2
551,CIV-PLS09 ,0,2016,14,0,0,0,0,"1F-1,2F-1"
552,CIV-PLS09 ,1,2016,15,19,0,25,18,3F-3
553,CIV-PLS09 ,0,0,4,0,0,0,0,
554,CIV-PLS09 ,0,0,9,15,0,12,0,
555,CIV-PLS09 ,0,0,7,19,0,21,16,
556,MEC-PLS09 ,0,2016,14,14,0,0,0,1F-1
557,CIV-PLS09 ,0,0,2,0,0,0,0,
558,ELE-PLS09 ,0,0,0,0,0,0,0,
559,ELE-PLS09 ,0,2016,0,0,0,0,0,
560,MEC-PLS09 ,1,2016,17,17,0,0,0,1F-2
561,MEC-PLS09 ,0,0,9,0,0,0,0,
562,ELE-PLS09 ,0,0,17,0,0,0,0,
563,CIV-PLS09 ,0,2017,13,5,0,10,28,3F-1
564,ELE-PLS09 ,0,0,10,10,0,14,26,
565,MEC-PLS09 ,0,0,2,14,0,2,10,
566,CIV-PLS09 ,0,2017,10,21,0,0,0,"1F-1,2F-1,3F-1"
567,ELE-PLS09 ,0,0,1,10,0,0,0,
568,ELE-PLS09 ,0,0,11,16,0,0,10,
569,MEC-PLS09 ,0,0,12,7,0,6,14,
570,IND-PLS09 ,0,0,0,0,0,0,0,
571,ELE-PLS09 ,0,0,8,2,0,0,0,
572,ELE-PLS09 ,0,0,10,0,0,0,0,
573,CIV-PLS09 ,0,0,6,6,0,0,0,
574,CIV-PLS09 ,0,0,14,8,0,0,20,
575,ELE-PLS09 ,0,0,3,3,0,0,0,
576,ELE-PLS09 ,1,2017,16,14,0,0,0,"1F-1,2F-1,3F-2"
577,CIV-PLS09 ,0,0,0,0,0,0,0,
578,MEC-PLS09 ,0,0,3,7,0,0,0,
579,ELE-PLS09 ,1,2017,18,20,0,0,0,1F-2
580,MEC-PLS09 ,0,0,0,0,0,0,0,
581,CIV-PLS09 ,0,0,3,1,0,0,0,
582,ELE-PLS09 ,0,0,10,14,0,18,24,
583,MCT-PLS09 ,0,0,4,0,0,0,0,
584,CIV-PLS09 ,1,2016,12,0,0,0,0,"1F-1,2F-2"
585,CIV-PLS09 ,0,0,9,9,0,0,0,
586,CIV-PLS09 ,0,0,4,7,0,0,0,
587,IND-PLS09 ,0,0,3,6,0,0,0,
588,CIV-PLS09 ,0,0,9,3,0,0,0,
589,CIV-PLS09 ,0,0,1,0,0,0,0,
590,MEC-PLS09 ,0,0,6,12,0,10,10,
591,ELE-PLS09 ,0,2016,0,0,0,0,0,2F-1
592,IND-PLS13 ,0,0,0,0,0,0,0,
593,IND-PLS13 ,0,0,2,0,0,0,0,
594,MCT-PLS13 ,0,2017,9,20,0,36,0,2F-1
595,ELE-PLS13 ,0,2018,10,25,0,0,0,2F-1
596,MCT-PLS13 ,0,0,3,12,0,0,0,
597,ELE-PLS13 ,0,0,14,12,0,22,0,
598,MCT-PLS13 ,0,2017,0,0,0,0,0,
599,ELE-PLS13 ,1,2018,5,10,0,34,0,2F-3
600,CIV-PLS13 ,1,2018,16,26,0,0,0,1F-4
601,CIV-PLS13 ,0,0,5,0,0,0,0,
602,MCT-PLS13 ,0,0,7,11,0,0,0,
603,ELE-PLS13 ,1,2018,10,21,0,0,0,"1F-1,2F-2"
604,CIV-PLS13 ,0,2018,9,21,0,0,0,"1F-1,2F-1"
605,ELE-PLS13 ,1,2018,15,19,0,0,0,1F-2
606,ELE-PLS13 ,1,2017,0,0,0,0,0,2F-2
607,ELE-PLS13 ,1,2017,10,22,0,0,0,1F-2
608,MCT-PLS13 ,0,0,6,9,0,22,0,
609,ELE-PLS13 ,0,2017,14,11,0,26,0,2F-1
610,MCT-PLS13 ,1,2018,14,21,0,0,0,1F-2
611,MCT-PLS13 ,1,2017,15,23,0,0,0,1F-2
612,IND-PLS13 ,0,0,13,10,0,16,0,
613,ELE-PLS13 ,0,2018,10,20,0,34,0,
614,MCT-PLS13 ,1,2018,15,24,0,0,0,1F-3
615,CIV-PLS13 ,0,0,9,0,0,0,0,
616,ELE-PLS13 ,1,2018,9,17,0,31,0,2F-2
617,ELE-PLS13 ,0,0,12,16,0,26,0,
618,IND-PLS13 ,1,2018,11,20,0,0,0,1F-2
619,CIV-PLS13 ,0,2017,8,10,0,0,0,
620,ELE-PLS13 ,1,2018,14,14,0,0,0,1F-2
621,CIV-PLS13 ,0,0,5,10,0,28,0,
622,MCT-PLS13 ,0,0,0,0,0,0,0,
623,CIV-PLS13 ,1,2018,10,30,0,0,0,1F-4
624,ELE-PLS13 ,0,2017,0,0,0,0,0,
625,CIV-PLS13 ,0,2018,15,8,0,30,0,
626,IND-PLS13 ,1,2017,16,0,0,32,0,2F-2
627,MCT-PLS13 ,1,2018,13,30,0,0,0,1F-4
628,ELE-PLS13 ,1,2018,12,26,0,0,0,1F-2
629,CIV-PLS13 ,1,2018,12,21,0,0,0,1F-2
630,CIV-PLS13 ,1,2018,12,20,0,0,0,1F-2
631,ELE-PLS13 ,0,0,10,4,0,0,0,
632,ELE-PLS13 ,0,0,9,11,0,0,0,
633,MCT-PLS13 ,0,0,8,7,0,20,0,
634,ELE-PLS13 ,0,2018,10,9,0,30,0,
635,CIV-PLS13 ,0,0,12,3,0,24,0,
636,CIV-PLS13 ,0,0,14,4,0,0,0,
637,CIV-PLS13 ,1,2018,13,10,0,32,0,2F-2
638,ELE-PLS13 ,0,0,3,13,0,0,0,
639,CIV-PLS13 ,0,2018,17,17,0,0,0,2F-1
640,CIV-PLS13 ,1,2018,15,22,0,0,0,"1F-1,2F-3"
641,CIV-PLS13 ,1,2018,11,18,0,0,0,1F-2
642,CIV-PLS13 ,1,2018,15,18,0,0,0,1F-3
643,IND-PLS13 ,0,2017,0,0,0,0,0,1F-1
644,CIV-PLS13 ,1,2017,12,16,0,0,0,2F-3
645,CIV-PLS13 ,0,2018,7,9,0,32,0,2F-1
646,CIV-PLS13 ,0,0,9,13,0,10,0,
647,ELE-PLS13 ,1,2017,13,17,0,0,0,"1F-1,2F-2"
648,CIV-PLS13 ,1,2018,13,18,0,0,0,1F-2
649,ELE-PLS13 ,0,0,10,13,0,0,0,
650,MCT-PLS13 ,0,0,5,1,0,0,0,
651,CIV-PLS13 ,0,0,0,12,0,0,0,
652,ELE-PLS13 ,0,2018,14,22,0,0,0,2F-1
653,ELE-PLS13 ,1,2018,12,20,0,0,0,1F-2
654,IND-PLS13 ,1,2018,10,21,0,0,0,1F-2
655,MEC-PLS13 ,0,0,0,0,0,0,0,
656,MCT-PLS13 ,0,2018,12,17,0,0,0,1F-1
657,MCT-PLS13 ,0,0,10,8,0,26,0,
658,MCT-PLS13 ,0,0,0,0,0,0,0,
659,CIV-PLS13 ,0,2017,14,12,0,0,0,
660,CIV-PLS13 ,0,0,9,2,0,0,0,
661,CIV-PLS13 ,1,2018,14,26,0,0,0,1F-5
662,CIV-PLS13 ,1,2018,13,16,0,32,0,2F-2
663,IND-PLS13 ,1,2018,13,22,0,0,0,1F-2
664,ELE-PLS13 ,1,2018,12,18,0,0,0,1F-3
665,MCT-PLS13 ,0,2018,12,15,0,34,0,2F-1
666,MCT-PLS13 ,0,0,14,17,0,0,0,
667,MCT-PLS13 ,1,2017,13,20,0,0,0,1F-2
668,CIV-PLS13 ,0,0,7,18,0,18,0,
669,ELE-PLS13 ,0,0,0,0,0,0,0,
670,CIV-PLS13 ,1,2018,0,16,0,33,0,2F-2
671,MCT-PLS13 ,0,0,0,0,0,0,0,
672,ELE-PLS13 ,1,2018,12,23,0,0,0,1F-2
673,MCT-PLS13 ,0,2018,14,28,0,0,0,
674,ELE-PLS13 ,0,0,13,12,0,0,0,
675,ELE-PLS13 ,1,2018,11,15,0,0,0,2F-2
676,CIV-PLS13 ,1,2017,21,20,0,0,0,1F-2
677,MEC-PLS13 ,0,0,3,0,0,0,0,
678,CIV-PLS13 ,1,2018,17,14,0,0,0,1F-2
679,MEC-PLS13 ,1,2017,17,18,0,0,0,1F-2
680,MEC-PLS13 ,0,2018,12,17,0,0,0,
681,ELE-PLS13 ,0,0,9,6,0,0,0,
682,MEC-PLS13 ,0,0,4,3,0,0,0,
683,CIV-PLS13 ,1,2018,0,17,0,44,0,2F-3
684,MCT-PLS13 ,0,0,7,9,0,22,0,
685,CIV-PLS13 ,1,2017,14,27,0,0,0,1F-4
686,CIV-PLS13 ,1,2018,13,24,0,0,0,1F-3
687,MCT-PLS13 ,1,2017,17,26,0,0,0,1F-4
688,ELE-PLS13 ,1,2017,14,26,0,0,0,1F-3
689,CIV-PLS13 ,1,2017,10,19,0,0,0,1F-2
690,CIV-PLS13 ,1,2017,9,24,0,0,0,1F-2
691,CIV-PLS13 ,0,0,6,0,0,0,0,
692,CIV-PLS13 ,1,2018,13,16,0,0,0,1F-2
693,MCT-PLS13 ,1,2017,16,18,0,0,0,1F-2
694,ELE-PLS13 ,0,0,10,14,0,28,0,
695,ELE-PLS13 ,0,0,11,7,0,0,0,
696,CIV-PLS13 ,0,0,12,14,0,24,0,
697,ELE-PLS13 ,1,2018,17,19,0,0,0,1F-2
698,CIV-PLS13 ,0,0,9,0,0,0,0,
699,MEC-PLS13 ,0,0,7,0,0,0,0,
700,ELE-PLS13 ,1,2018,7,8,0,46,0,2F-4
701,IND-PLS13 ,0,0,15,9,0,19,0,
702,ELE-PLS13 ,0,0,6,11,0,21,0,
703,MCT-PLS13 ,0,0,0,0,0,0,0,
704,IND-PLS13 ,0,0,0,0,0,0,0,
705,CIV-PLS13 ,0,0,9,12,0,0,0,
706,ELE-PLS13 ,0,0,9,4,0,0,0,
707,CIV-PLS13 ,1,2018,13,16,0,0,0,1F-3
708,MCT-PLS13 ,1,2017,13,25,0,0,0,1F-4
709,CIV-PLS13 ,1,2018,17,22,0,26,0,2F-3
710,ELE-PLS13 ,1,2018,23,31,0,0,0,1F-5
711,CIV-PLS13 ,1,2018,13,22,0,40,0,2F-4
712,IND-PLS13 ,1,2018,11,20,0,43,0,2F-5
713,MCT-PLS13 ,1,2018,12,5,0,44,0,2F-3
714,CIV-PLS13 ,0,0,14,0,0,0,0,
715,CIV-PLS13 ,0,2018,17,13,0,10,0,2F-1
716,MEC-PLS13 ,0,0,4,0,0,0,0,
717,MEC-PLS13 ,0,0,12,6,0,28,0,
718,CIV-PLS13 ,1,2018,13,18,0,43,0,2F-5
719,IND-PLS13 ,1,2017,19,12,0,0,0,"1F-1,2F-3"
720,MEC-PLS13 ,0,2018,13,19,0,30,0,
721,MCT-PLS13 ,0,0,0,0,0,0,0,
722,ELE-PLS13 ,0,0,4,5,0,0,0,
723,CIV-PLS13 ,1,2018,10,22,0,0,0,1F-2
724,CIV-PLS13 ,0,2018,15,9,0,30,0,2F-1
725,ELE-PLS13 ,1,2018,10,19,0,31,0,2F-3
726,IND-PLS13 ,0,0,14,8,0,24,0,
727,CIV-PLS13 ,0,2018,9,13,0,29,0,2F-1
728,MCT-PLS13 ,0,2018,13,24,0,0,0,2F-1
729,ELE-PLS13 ,0,0,0,0,0,0,0,
730,IND-PLS13 ,0,2018,11,13,0,34,0,2F-1
731,MCT-PLS13 ,0,2018,7,18,0,38,0,2F-1
732,CIV-PLS13 ,1,2018,22,17,0,0,0,1F-2
733,IND-PLS13 ,0,2018,10,19,0,28,0,
734,IND-PLS13 ,0,0,12,8,0,4,0,
735,IND-PLS13 ,0,0,9,13,0,0,0,
736,IND-PLS13 ,1,2018,14,28,0,0,0,1F-5
737,MCT-PLS13 ,0,0,14,12,0,24,0,
738,IND-PLS13 ,1,2018,10,15,0,52,0,2F-5
739,CIV-PLS13 ,1,2018,15,18,0,0,0,1F-2
740,MEC-PLS13 ,0,2017,11,0,0,0,0,
741,CIV-PLS13 ,1,2018,14,10,0,30,0,2F-2
742,ELE-PLS13 ,1,2018,14,19,0,0,0,"1F-1,2F-2"
743,CIV-PLS13 ,1,2017,14,23,0,0,0,1F-3
744,ELE-PLS13 ,0,0,10,0,0,0,0,
745,CIV-PLS13 ,1,2017,16,13,0,0,0,1F-2
746,MCT-PLS13 ,0,2018,12,14,0,0,0,1F-1
747,CIV-PLS13 ,0,0,2,0,0,0,0,
748,CIV-PLS13 ,0,2018,14,13,0,32,0,2F-1
749,ELE-PLS13 ,1,2018,17,25,0,0,0,1F-3
750,ELE-PLS13 ,1,2017,16,25,0,0,0,1F-4
751,ELE-PLS13 ,0,2018,9,18,0,30,0,2F-1
752,ELE-PLS13 ,0,2018,9,18,0,36,0,
753,ELE-PLS13 ,1,2018,11,13,0,38,0,2F-2
754,ELE-PLS13 ,1,2017,13,22,0,0,0,1F-3
755,ELE-PLS13 ,0,0,7,4,0,0,0,
756,IND-PLS13 ,0,0,2,4,0,0,0,
757,CIV-PLS13 ,1,2018,8,11,0,26,0,2F-2
758,IND-PLS13 ,0,0,12,12,0,27,0,
759,ELE-PLS13 ,0,0,12,15,0,24,0,
760,MCT-PLS13 ,0,2017,8,0,0,0,0,
761,MCT-PLS13 ,0,2018,11,25,0,38,0,
762,CIV-PLS13 ,1,2018,18,22,0,0,0,1F-3
763,CIV-PLS13 ,1,2018,17,17,0,0,0,1F-2
764,IND-PLS13 ,1,2017,14,25,0,0,0,1F-2
765,CIV-PLS13 ,0,0,12,11,0,0,0,
766,ELE-PLS13 ,0,0,2,0,0,0,0,
767,ELE-PLS13 ,0,2018,15,10,0,30,0,2F-1
768,ELE-PLS13 ,1,2018,11,21,0,0,0,"1F-1,2F-2"
769,CIV-PLS13 ,1,2017,10,23,0,0,0,2F-3
770,ELE-PLS13 ,1,2017,18,27,0,0,0,1F-4
771,CIV-PLS13 ,1,2017,16,20,0,0,0,1F-2
772,CIV-PLS13 ,1,2018,12,22,0,0,0,1F-3
773,ELE-PLS13 ,0,2018,11,8,0,31,0,2F-1
774,CIV-PLS13 ,1,2018,15,26,0,0,0,1F-4
775,IND-PLS13 ,1,2018,17,23,0,0,0,"1F-1,2F-2"
776,CIV-PLS13 ,1,2018,19,27,0,0,0,1F-4
777,CIV-PLS13 ,0,0,0,0,0,0,0,
778,MCT-PLS13 ,0,2018,9,21,0,0,0,"1F-1,2F-1"
779,ELE-PLS13 ,0,0,8,7,0,6,0,
780,ELE-PLS13 ,1,2017,8,21,0,0,0,1F-2
781,ELE-PLS13 ,0,0,8,9,0,28,0,
782,IND-PLS13 ,1,2018,14,15,0,0,0,1F-2
783,ELE-PLS13 ,0,0,11,12,0,24,0,
784,CIV-PLS13 ,1,2017,10,0,0,0,0,1F-2
785,ELE-PLS13 ,1,2017,13,21,0,0,0,1F-4
786,ELE-PLS13 ,0,0,9,14,0,0,0,
787,CIV-PLS13 ,1,2017,14,0,0,0,0,1F-2
788,CIV-PLS13 ,1,2018,15,16,0,24,0,2F-2
789,ELE-PLS13 ,0,2018,13,18,0,0,0,
790,CIV-PLS13 ,1,2018,20,14,0,0,0,1F-3
791,ELE-PLS13 ,0,2018,13,14,0,30,0,
792,CIV-PLS13 ,0,0,11,5,0,18,0,
793,CIV-PLS13 ,1,2018,16,27,0,0,0,1F-4
794,CIV-PLS13 ,1,2017,17,27,0,0,0,1F-5
795,IND-PLS13 ,0,2018,13,16,0,28,0,
796,CIV-PLS13 ,1,2018,14,25,0,0,0,1F-3
797,ELE-PLS13 ,1,2018,12,23,0,0,0,1F-3
798,MCT-PLS13 ,0,0,11,11,0,24,0,
799,CIV-PLS13 ,0,0,9,13,0,14,0,
800,CIV-PLS13 ,1,2017,16,22,0,0,0,1F-2
801,CIV-PLS13 ,0,0,10,15,0,22,0,
802,IND-PLS13 ,1,2018,11,20,0,0,0,1F-2
803,IND-PLS13 ,0,0,0,8,0,0,0,
804,ELE-PLS13 ,1,2017,15,25,0,0,0,1F-3
805,IND-PLS13 ,1,2018,13,18,0,0,0,1F-2
806,IND-PLS13 ,0,0,7,18,0,28,0,
807,CIV-PLS13 ,1,2018,16,12,0,0,0,1F-2
808,CIV-PLS13 ,0,0,8,21,0,26,0,
809,IND-PLS13 ,1,2018,8,20,0,32,0,2F-2
810,CIV-PLS13 ,0,0,15,11,0,16,0,
811,IND-PLS13 ,1,2018,10,11,0,36,0,2F-3
812,CIV-PLS13 ,0,0,0,0,0,0,0,
813,CIV-PLS13 ,0,2018,15,8,0,29,0,2F-1
814,CIV-PLS13 ,1,2018,17,25,0,0,0,1F-4
815,ELE-PLS13 ,0,2017,8,0,0,0,0,"1F-1,2F-1"
816,MEC-PLS13 ,0,2018,11,20,0,0,0,"1F-1,2F-1"
817,ELE-PLS13 ,1,2018,19,18,0,0,0,1F-2
818,IND-PLS13 ,1,2018,15,17,0,0,0,1F-2
819,ELE-PLS13 ,1,2018,17,25,0,0,0,1F-4
820,CIV-PLS13 ,1,2018,16,24,0,0,0,1F-2
821,IND-PLS13 ,0,0,0,19,0,0,0,
822,MCT-PLS13 ,0,2018,17,19,0,0,0,
823,ELE-PLS13 ,0,0,2,0,0,0,0,
824,IND-PLS13 ,1,2018,14,22,0,0,0,1F-4
825,CIV-PLS13 ,1,2018,9,11,0,29,0,2F-2
826,CIV-PLS13 ,1,2017,16,14,0,25,0,2F-2
827,IND-PLS13 ,0,0,14,8,0,23,0,
828,MCT-PLS13 ,0,0,0,18,0,0,0,
829,CIV-PLS13 ,0,0,6,1,0,0,0,
830,IND-PLS13 ,1,2018,9,23,0,0,0,1F-3
831,ELE-PLS13 ,0,2018,6,19,0,30,0,2F-1
832,CIV-PLS13 ,0,0,6,9,0,25,0,
833,ELE-PLS13 ,1,2018,18,20,0,20,0,2F-4
834,ELE-PLS13 ,0,0,8,12,0,0,0,
835,ELE-PLS13 ,0,0,12,10,0,25,0,
836,ELE-PLS13 ,0,0,3,0,0,0,0,
837,ELE-PLS13 ,1,2018,13,22,0,46,0,2F-5
838,MCT-PLS13 ,0,0,5,0,0,0,0,
839,CIV-PLS13 ,1,2018,11,17,0,0,0,1F-2
840,MCT-PLS13 ,0,0,6,14,0,0,0,
841,ELE-PLS13 ,0,0,4,5,0,0,0,
842,MEC-PLS13 ,0,2018,10,21,0,0,0,
843,CIV-PLS13 ,1,2018,18,18,0,0,0,"1F-1,2F-2"
844,IND-PLS13 ,0,0,0,0,0,0,0,
845,CIV-PLS13 ,0,0,8,7,0,16,0,
846,MEC-PLS13 ,0,0,8,0,0,0,0,
847,CIV-PLS13 ,1,2017,17,25,0,0,0,1F-3
848,IND-PLS13 ,0,0,7,15,0,23,0,
849,IND-PLS13 ,1,2017,14,28,0,0,0,1F-3
850,CIV-PLS13 ,0,2017,9,0,0,0,0,"1F-1,2F-1"
851,ELE-PLS13 ,1,2017,14,16,0,0,0,1F-2
852,CIV-PLS13 ,0,0,4,0,0,0,0,
853,ELE-PLS13 ,1,2018,13,23,0,0,0,1F-4
854,ELE-PLS13 ,0,2017,0,3,0,28,0,
855,ELE-PLS13 ,1,2017,10,17,0,0,0,1F-3
856,IND-PLS13 ,1,2018,8,21,0,0,0,1F-2
857,ELE-PLS13 ,0,0,11,12,0,24,0,
858,ELE-PLS13 ,1,2018,19,22,0,0,0,1F-3
859,IND-PLS13 ,0,0,6,0,0,0,0,
860,ELE-PLS13 ,1,2017,7,0,0,0,0,"1F-1,2F-2"
861,IND-PLS13 ,1,2018,18,23,0,0,0,1F-4
862,CIV-PLS13 ,1,2018,18,30,0,0,0,1F-5
863,ELE-PLS13 ,0,0,7,9,0,17,0,
864,IND-PLS13 ,1,2018,16,22,0,0,0,1F-4
865,ELE-PLS13 ,1,2018,15,15,0,36,0,2F-2
866,ELE-PLS13 ,1,2018,12,18,0,0,0,1F-2
867,CIV-PLS13 ,1,2018,11,17,0,0,0,"1F-1,2F-2"
868,ELE-PLS13 ,1,2018,12,22,0,0,0,1F-2
869,CIV-PLS13 ,1,2018,13,21,0,30,0,2F-3
870,CIV-PLS13 ,1,2018,11,12,0,47,0,2F-5
871,IND-PLS13 ,1,2017,13,18,0,46,0,2F-3
872,CIV-PLS13 ,1,2017,18,16,0,0,0,"1F-1,2F-2"
873,CIV-PLS13 ,0,0,9,14,0,24,0,
874,CIV-PLS13 ,1,2018,4,24,0,0,0,2F-2
875,ELE-PLS13 ,1,2017,15,30,0,0,0,1F-5
876,CIV-PLS13 ,0,0,12,11,0,27,0,
877,CIV-PLS13 ,0,2018,16,16,0,0,0,"1F-1,2F-1"
878,ELE-PLS13 ,0,0,3,0,0,0,0,
879,MEC-PLS13 ,0,0,0,0,0,0,0,
880,CIV-PLS13 ,1,2018,14,15,0,0,0,1F-2
881,ELE-PLS13 ,0,0,6,10,0,13,0,
882,CIV-PLS13 ,1,2017,11,18,0,0,0,1F-2
883,CIV-PLS13 ,1,2018,9,19,0,33,0,2F-2
884,ELE-PLS13 ,0,0,15,0,0,22,0,
885,CIV-PLS13 ,0,2018,12,19,0,0,0,
886,ELE-PLS13 ,0,2018,8,10,0,31,0,2F-1
887,IND-PLS13 ,0,0,8,10,0,0,0,
888,ELE-PLS13 ,1,2017,15,24,0,0,0,1F-2
889,MCT-PLS13 ,0,2017,14,21,0,0,0,2F-1
890,MEC-PLS13 ,0,2018,14,22,0,28,0,
891,ELE-PLS13 ,1,2017,14,24,0,0,0,1F-4
892,IND-PLS13 ,0,2018,14,9,0,32,0,2F-1
893,ELE-PLS13 ,0,0,6,14,0,0,0,
