,Cod.Car.Sec,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final
100,MEC-PLS13 ,1,2017,18,20,0,0,0,1F-2
101,IND-PLS13 ,0,0,11,12,0,24,20,
102,MCT-PLS13 ,0,0,6,12,0,0,0,
103,MCT-PLS13 ,0,0,4,2,0,0,0,
104,MCT-PLS13 ,0,0,3,7,0,0,0,
105,MCT-PLS13 ,0,0,0,15,0,0,0,
106,CIV-PLS13 ,0,0,11,11,0,18,12,
107,CIV-PLS13 ,0,0,14,0,0,0,0,
108,CIV-PLS13 ,0,0,0,0,0,0,0,
109,ELE-PLS13 ,1,2017,9,22,0,0,0,1F-2
110,MCT-PLS13 ,0,0,13,6,0,0,0,
111,MCT-PLS13 ,1,2017,16,30,0,0,0,1F-4
112,IND-PLS13 ,0,0,7,0,0,0,0,
113,CIV-PLS13 ,0,2017,14,15,0,11,0,
114,CIV-PLS13 ,1,2016,4,27,0,22,0,2F-3
115,CIV-PLS13 ,0,0,10,8,0,28,24,
116,CIV-PLS13 ,1,2016,15,25,0,0,0,2F-4
117,CIV-PLS13 ,0,0,5,14,0,11,0,
118,CIV-PLS13 ,0,0,6,6,0,0,0,
119,CIV-PLS13 ,1,2017,19,19,0,0,0,1F-3
120,CIV-PLS13 ,1,2017,10,16,0,28,46,3F-3
121,ELE-PLS13 ,1,2017,19,26,0,0,0,1F-5
122,IND-PLS13 ,0,0,11,4,0,0,12,
123,IND-PLS13 ,1,2017,16,18,0,0,0,1F-2
124,ELE-PLS13 ,0,0,13,12,0,8,14,
125,MCT-PLS13 ,0,0,7,9,0,15,20,
126,MCT-PLS13 ,0,0,10,2,0,0,0,
127,MCT-PLS13 ,0,2017,11,9,0,12,30,3F-1
128,CIV-PLS13 ,1,2017,12,27,0,0,0,1F-2
129,CIV-PLS13 ,0,0,0,23,0,10,21,
130,CIV-PLS13 ,1,2017,19,31,0,0,0,1F-5
131,ELE-PLS13 ,0,0,3,14,0,13,18,
132,MEC-PLS13 ,1,2017,9,17,0,8,32,3F-2
133,CIV-PLS13 ,0,0,6,12,0,18,14,
134,MCT-PLS13 ,0,0,0,0,0,0,0,
135,CIV-PLS13 ,0,2016,6,0,0,0,0,
136,CIV-PLS13 ,0,0,6,9,0,7,2,
137,ELE-PLS13 ,0,0,4,15,0,8,20,
138,CIV-PLS13 ,0,0,0,0,0,0,0,
139,MCT-PLS13 ,0,0,14,12,0,22,22,
140,CIV-PLS13 ,0,0,3,5,0,0,0,
141,ELE-PLS13 ,0,0,7,19,0,17,10,
142,ELE-PLS13 ,1,2017,8,22,0,0,0,"1F-1,2F-2"
143,ELE-PLS13 ,0,0,10,3,0,0,0,
144,IND-PLS13 ,0,2017,14,9,0,18,32,3F-1
145,MEC-PLS13 ,0,0,2,5,0,0,0,
146,ELE-PLS13 ,0,0,5,0,0,0,0,
147,CIV-PLS13 ,0,0,14,9,0,12,22,
148,ELE-PLS13 ,1,2017,21,17,0,0,0,"1F-1,2F-2"
149,CIV-PLS13 ,1,2017,13,19,0,14,0,"2F-1,3F-2"
